code,name,district_code,facility_type,source_uuid
01508,INF-LC PUBLIC LYCÉE PROFESSIONNEL DE YOPOUGON,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1508
01280,INF-LC PUBLIC MUNICIPAL DE YOPOUGON,104,PB,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS1280
03484,MATERNITE SAINTE MADELAINE,104,PV,
03488,NOUFRA OPTIC,104,PV,
02414,NOUVELLE CLINIQUE IROKO,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2414
02819,NOUVELLE CLINIQUE SAINTE JOSIANE,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2819
02420,POLYCLINIQUE DE YOPOUGON DE ABOBODOUME,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2420
02855,SERVICE MEDICO-SOCIAL DE SOTRA YOPOUGON,104,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2855
03024,CABINET D’OPTICIEN-LUNETIER   OPTIC ROC,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3024
02915,CABINET D’OPTICIEN-LUNETIER BIO-MED OPTIQUE,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2915
02875,CABINET D’OPTICIEN-LUNETIER EDEN OPTIC,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2875
03019,CABINET D’OPTICIEN-LUNETIER MAITRE OPTICS,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3019
02911,CABINET D’OPTICIEN-LUNETIER MIRACLE OPTIC,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2911
02916,CABINET D’OPTICIEN-LUNETIER OPTIC CENTER,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2916
02907,CABINET D’OPTICIEN-LUNETIER RÉEL OPTICAL,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2907
03100,CABINET D’OPTICIEN-LUNETIER SHAMMA OPTIQUE,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3100
03009,CABINET DE CSPA BOYA,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS3009
03256,CENTRE  MEDICAL EDEN 2,105,PV,
02441,CENTRE MEDECIAL SAINT-MICHEL ARCHANGE,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2441
02443,CENTRE MEDICAL  LA NOUVELLE ALLIANCE,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2443
02447,CENTRE MEDICAL REHOBOTH,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2447
03480,CENTRE SOCIAL DE NIANGON SUD,105,PB,
03495,CENTRE SOCIAL DE PORT BOUET 2,105,PB,
00149,CHU PUBLIC DE YOPOUGON,105,PB,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL148
02424,CLINIQUE CITE VERTE,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2424
00943,CLINIQUE GRAND CENTRE,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS0943
09721,CLINIQUE JANE LEORA,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS9721
02429,CLINIQUE LA GRACE DIVINE DE YOPOUGON,105,PV,SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS2429
